title,description,price,rating,seller,image
"ASRock PG32QF2B Phantom 32"" (31.5"" viewable) QHD 2560 x 1440 (2K) 165 Hz (144Hz and higher) Wi-Fi Antenna FreeSync Premium (AMD Adaptive Sync) Built-in Speakers Flat Panel Gaming Monitor","31.5” QHD (2560x1440) Flat VA Display ,165Hz High Refresh Rate ,Brightness: 550 nit ,1ms (MPRT) Response Time ,92% DCI-P3 / sRGB 116% Color Space ,Wide 178-Degree Viewing Angles ,VESA DisplayHDR 400 ,AMD FreeSync Premium Technology ,Flicker Free Technology ,ASRock Low Blue Light Technology ,2*HDMI 2.0, 1*DisplayPort 1.4 ,Height, Swivel, Tilt Adjustment ,Integrated Wi-Fi Antenna (Compatible with Wi-Fi 4/5/6/6E/7) ,PS4/ Xbox One/ Xbox : 1080p, 60Hz, HDR ,PS5: 1440p, 120Hz, HDR ,Xbox Series X and S: 1440p, 120Hz, HDR, VRR ,",$269.99 ,4.3,Newegg,https://c1.neweggimages.com/ProductImage/24-028-004-09.jpg
"AOPEN 27KG3 M3bip 27"" Full HD (1920 x 1080) 180hz with AMD FreeSync Premium Technology, 1ms (TVR), ZeroFrame, Low Blue Light, VESA Mountable, Tilt Adjustable","27"" Full HD (1920 x 1080) Widescreen IPS Display ,Ultra-Thin with ZeroFrame ,AMD FreeSync Premium Technology ,Refresh Rate: 180Hz ,Response Time: 1ms (TVR) ,Panel Type: IPS ,AOPEN Eye Protection: BlueLight Filter & Flickerless Technology ,Ports: 1 x Display Port 1.2 & 1 x HDMI 2.0 ,",$109.99 ,3.8,Newegg,https://c1.neweggimages.com/ProductImage/24-174-054-06.jpg
"Acer Nitro EDA270 X2biip 27"" 1500R Curved Full HD (1920 x 1080) Monitor with AMD FreeSync Premium Technology, 240Hz Refresh Rate, 1ms VRB, HDR 10 (Display Port 1.4 & 2 x HDMI 2.0 Ports)","27"" Full HD (1920 x 1080) 1500R Curved Widescreen Display ,AMD FreeSync Premium Technology ,Response Time: 1ms (VRB) ,Refresh Rate: 240Hz ,HDR 10 ,ZeroFrame Design ,Panel Type: VA ,Acer VisionCare Technologies ,Ergonomic Tilt: -5° to 20° ,Ports: 1 x Display Port 1.4 & 2 x HDMI 2.0 Ports ,",$109.99 ,4.1,Newegg,https://c1.neweggimages.com/ProductImage/24-011-504-01.png
"Acer Nitro XZ320Q S3bmiiphx 31.5-inch 1500R Curved Zero-Frame Full HD (1920 x 1080) Gaming Monitor with AMD FreeSync Premium Technology, 180Hz Refresh Rate, 1ms VRB, HDR10 (1 x Display Port 1.2, 2 x HDMI 1.4 Ports & 1 x Audio Out)","31.5"" Full HD (1920 x 1080) 1500R Curved Widescreen VA Display ,AMD FreeSync Premium Technology ,Refresh Rate: 180Hz ,Response Time: 1ms (VRB) ,Color Saturation: 72% NTSC ,HDR 10 ,Panel Type: VA ,2 speakers, 2 watts per speaker ,Acer VisionCare Technologies ,VESA mounting compliant (100 x 100mm) ,Ports: 1 x Display Port 1.2, 2 x HDMI 1.4 Ports & 1 x Audio Out ,",$109.99 ,,antonline,https://c1.neweggimages.com/ProductImage/24-011-510-17.jpg
"AOPEN 34HC5CUR Pbmiiphx 34-inch 1500R Curved UWQHD (3440 x 1440) Monitor with AMD FreeSync Premium Technology, Up to 144Hz Refresh Rate and 1ms TVR (1 x Display Port 1.4 & 2 x HDMI 2.0 Ports)","34"" UWQHD (3440 x 1440) 1500R Curved Widescreen VA ZeroFrame Display ,AMD FreeSync Premium Technology ,Refresh Rate: Up to 144Hz ,Response Time: 1ms (TVR) ,2 speakers, 2 watts per speaker ,Display Stand: Ergonomic Tilt: -5° to 35°, Height Adjustment Range: 4.7"" and Swivel: +/-30° ,AOPEN Eye Protection: BlueLight Filter & Flickerless Technology ,Ports: 1 x Display Port 1.4, 2 x HDMI 2.0 & 1 x Audio-Out ,",$197.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-174-056-08.jpg
"MSI 25"" 180 Hz Rapid IPS FHD Gaming Monitor 1920 x 1080 G255PF E2","25"" ,Rapid IPS FHD 1920 x 1080 ,180 Hz ,1,000:1 ,16.7 Million ,Tilt: -5° ~ 20° Swivel: -30° ~ 30° Height Adjustment: 0 - 130 mm Pivot: -90° ~ 90° ,1 x DisplayPort 1.2a / 2 x HDMI 2.0b ,Power Cord, HDMI Cable ,",$109.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-475-354-03.png
"ASUS ROG Strix 27” 4K HDR USB-C Gaming Monitor (XG27UCG) - UHD (3840x2160) Dual mode (4K 160Hz or FHD 320Hz), 1ms, Fast IPS, Extreme Low Motion Blur Sync, G-SYNC Compatible, AI Gaming","27-inch 4K (3840 x 2160) gaming monitor with versatile dual mode (4K @ 160 Hz or FHD @ 320 Hz) ,ASUS Fast IPS technology enables a 1ms response time (GTG) for sharp gaming visuals with high frame rates ,ASUS Extreme Low Motion Blur Sync (ELMB SYNC) technology enables ELMB together with variable refresh rate, eliminating ghosting and tearing for sharp gaming visuals with high frame rates ,95% DCI-P3 color gamut with ASUS advanced gray-scale tracking technology ensures smoother color gradation delivered and uniformity ,DisplayWidget Center enables easy monitor settings adjustments with a mouse ,USB Type-C with DP Alt mode, meaning that you can connect your device with clutter-free set-up ,",$499.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-281-327-03.png
"LG 27"" 180 Hz VA QHD Gaming Monitor FreeSync (AMD Adaptive Sync) 2560 x 1440 (2K) sRGB 99% (CIE1931) UltraGear 27GS60QC-B","27"" curved Gaming Monitor ,VA QHD 2560 x 1440 (2K) ,180 Hz ,FreeSync (AMD Adaptive Sync) ,3000:1 (Typ.) ,16.7 Million ,Tilt ,1 x DisplayPort 1.4 / 2 x HDMI 2.0 ,DisplayPort Cable ,",$269.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-026-416-02.jpg
"MSI 24"" 180 Hz Rapid IPS FHD Gaming Monitor 1920 x 1080 G244PF E2","24"" ,Rapid IPS FHD 1920 x 1080 ,180 Hz ,1,000:1 ,16.7 Million ,Tilt: -5° ~ 20° Swivel: -45° ~ 45° Height Adjustment: 0 - 130 mm Pivot: -90° ~ 90° ,1 x DisplayPort 1.2a / 2 x HDMI 2.0b ,Power Cord, HDMI Cable ,",$109.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-475-343-02.png
"AOC CQ27G3Z 27"" Curved Gaming Monitor, QHD 2K 2560x1440, 1000R VA, 240Hz 0.5ms, FreeSync Premium, Height Adjustable Stand, Xbox PS5 Switch, 3-Year Zero-Bright-dot, Black","27"" ,VA QHD 2560 x 1440 (2K) ,240 Hz ,FreeSync Premium (AMD Adaptive Sync) ,80,000,000:1 ,Tilt: -5 +/-2° ~ +23 +/-2° Swivel: -30° +/-2° ~ +30 +/-2° HA: 130mm ,2 x DisplayPort 1.4 / 2 x HDMI 2.0 ,Monitor with stand Cables: HDMI cable, DP cable, Power cable User Documentation ,",$269.99 ,3,Newegg,https://c1.neweggimages.com/ProductImage/24-160-514-01.png
"ASUS ROG Strix 27"" 4K HDR USB-C Gaming Monitor XG27UCG-W - White, UHD (3840x2160) Dual mode (4K 160Hz or FHD 320Hz), 1ms, Fast IPS, ELMB Sync, G-SYNC Compatible, AI Gaming","27-inch 4K (3840 x 2160) gaming monitor with versatile dual mode (4K @ 160 Hz or FHD @ 320 Hz) ,ASUS Fast IPS technology enables a 1ms response time (GTG) for sharp gaming visuals with high frame rates ,ASUS Extreme Low Motion Blur Sync (ELMB SYNC) technology enables ELMB together with variable refresh rate, eliminating ghosting and tearing for sharp gaming visuals with high frame rates ,95% DCI-P3 color gamut with ASUS advanced gray-scale tracking technology ensures smoother color gradation delivered and uniformity ,DisplayWidget Center enables easy monitor settings adjustments with a mouse ,USB Type-C with DP Alt mode, meaning that you can connect your device with clutter-free set-up ,What's in the Box: DisplayPort cable, Power cord, ROG pouch, Quick start guide, Warranty Card ,",$499.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-281-329-03.png
"Samsung 32"" Odyssey G3 (G30D) FHD 180Hz 1ms Gaming Monitor with Ergonomic Stand - LS32DG302ENXZA","Samsung's Odyssey G30D Gaming Monitor features 180Hz refresh rate and 1ms response time (MPRT) for ultra-smooth action and minimal blur. ,AMD Radeon FreeSync keeps monitor and graphics card refresh rate in sync, reducing image tearing for seamless, smooth scenes. ,Black Equalizer allows you to adjust dark areas in games, letting you spot your enemies in even the darkest hiding nooks. ,Eye Saver Mode minimizes blue light and reduces irritating screen flicker for more comfortable gaming. ,3-sided borderless design provides maximum space for bigger, bolder gameplay, enabling a precise dual-monitor setup. ,Features an ergonomic stand to adjust your monitor height for optimal comfort when playing for extended periods of time. ,",$269.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-027-340-01.jpg
"SAMSUNG 34"" 175 Hz OLED UWQHD Gaming Monitors FreeSync Premium (AMD Adaptive Sync) 3440 x 1440 (2K) DCI Coverage 99% LS34DG856SNXZA","34"" ,OLED UWQHD 3440 x 1440 (2K) ,175 Hz ,FreeSync Premium (AMD Adaptive Sync) ,1,000,000:1 ,1 Billion Colors ,Height Adjustable Stand 120.0 +/- 5.0 mm Tilt -2.0° (+/-2.0°) ~ +20.0° (+/-2.0°) Pivot -3.0° (+/-2.0°) ~ +3.0° (+/-2.0°) ,1 x DisplayPort 1.4 / 2 x HDMI 2.1 2 x USB 3.0 ,HDMI Cable DP Cable Power Cable Remote Controller ,",$949.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-027-346-01.jpg
"MSI 32"" 160 Hz Rapid IPS UHD Gaming Monitor FreeSync Premium (AMD Adaptive Sync) 3840 x 2160 (4K) 93.6% Adobe RGB 95% DCI-P3 125.7% sRGB MAG 322UPF","32"" ,Rapid IPS UHD 3840 x 2160 (4K) ,160 Hz ,FreeSync Premium (AMD Adaptive Sync) ,100,000,000:1 (DCR) ,1.07B (8bits + FRC) ,Tilt -5° ~ 20° Swivel -45° ~ 45° Height Adjustment 0 - 100 mm ,1 x DisplayPort 1.4a / 2 x HDMI 2.1 1 x USB Type-C (DP Alternative)(90W charging) 3 x USB 2.0 (Type A) + 1 x USB 2.0 (Type B; PC to MNT) ,Power Cord DP Cable HDMI Cable USB A2B Cable ,",$499.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-475-417-01.png
"Corsair 34"" 240 Hz QD-OLED WQHD Gaming Monitor NVIDIA G-Sync compatible and AMD FreeSync Premium certified 3440 x 1440 (2K) XENEON 34WQHD240-C","Quantum Dot OLED Technology ,Contemporary White Design ,34-inch WQHD Display ,Curved 1800R Display ,Up to 240Hz Refresh Rate with 0.03ms Response Time ,NVIDIA G-Sync compatible and AMD FreeSync Premium certified ,DisplayHDR True Black 400 ,Up to Triple Monitor Support ,Proximity Sensor OSD ,Modern Connections ,Easy Ergonomics ,100 x 100mm VESA compatible ,Burn-In Prevention Features ,","$1,099.99 ",,Newegg,https://c1.neweggimages.com/ProductImage/24-710-010-01.jpg
"ASUS ROG Strix 24.5"" 1080P USB-C HDR Gaming Monitor (XG259CS) - Full HD, 180Hz, 1ms, Fast IPS, Extreme Low Motion Blur Sync, G-SYNC Compatible, Tripod Socket, DisplayWidget, AI Gaming","24.5-inch 1920 x 1080 HDR gaming monitor with 180Hz refresh rate designed for professional gamers and immersive gameplay ,ASUS Fast IPS technology enables a 1ms response time (GTG) for sharp gaming visuals with high frame rates ,ASUS Extreme Low Motion Blur Sync (ELMB SYNC) technology enables ELMB together with variable refresh rate, eliminating ghosting and tearing for sharp gaming visuals with high frame rates. ,Wide color gamut with ASUS advanced gray-scale tracking technology ensures smoother color gradation delivered and uniformity ,DisplayWidget Center enables easy monitor settings adjustments with a mouse ,USB Type-C with DP Alt mode, meaning that you can connect your device with clutter-free set-up ,What's in the Box: DisplayPort cable, Power cord & adapter, Quick start guide, ROG pouch, ROG sticker, Warranty Card ,",$269.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/24-281-328-03.png
"AOC 27"" 180 Hz IPS FHD Gaming Monitor 1920 x 1080 DCI-P3 (CIE1976): 102.2%, NTSC (CIE1976): 111.8% 27G4","27"" Gaming Monitor ,IPS FHD 1920 x 1080 ,180 Hz ,20,000,000:1 ,16.7 Million ,Height, Pivot, Swivel, Tilt Adjustment Stand ,1 x DisplayPort 1.4 / 1 x HDMI 2.0 ,Monitor with stand Cables: HDMI cable, DP cable, Power cable User Documentation ,",$109.99 ,,Newegg,https://c1.neweggimages.com/ProductImage/A0ZXD2407130ZAY0VAB.jpg
"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27AQDMG) - Glossy WOLED panel, 240 Hz, 0.03 ms, OLED Anti-flicker, ASUS OLED Care, G-SYNC® compatible, 99% DCI-P3, and DisplayWidget Center","26.5-inch QHD (2560 x 1440) glossy WOLED panel ,240 Hz refresh rate and 0.03 ms response time for immersive gaming ,Highly efficient custom heatsink, advanced airflow design, and ASUS OLED Care functions to reduce the risk of burn-in ,ROG-exclusive OLED Anti-flicker technology helps reduce the flicker during refresh-rate fluctuations ,Third-generation WOLED technology provides brighter full white windows, clearer text, and improved motion clarity ,Optional uniform brightness setting ensures consistent luminance levels ,DisplayWidget Center software allows users to easily access OLED Care functions and adjust monitor settings using a mouse ,",$699.99 ,4.9,Newegg,https://c1.neweggimages.com/ProductImage/24-281-313-04.jpg
"ASRock Phantom PG27Q15R2A 27"" QHD 2560 x 1440 (2K) 165 Hz (144Hz and higher) Wi-Fi Antenna FreeSync Premium (AMD Adaptive Sync) Built-in Speakers Curved Gaming Monitor","27” QHD (2560x1440) 1500R VA Display ,165Hz High Refresh Rate ,Brightness: 550 nit ,1ms (MPRT) Response Time ,87% DCI-P3 / sRGB 110% Color Space ,Wide 178-Degree Viewing Angles ,VESA DisplayHDR 400 ,AMD FreeSync Premium Technology ,Flicker Free Technology ,ASRock Low Blue Light Technology ,2*HDMI 2.0, 1*DisplayPort 1.4 ,Height, Swivel, Tilt Adjustment ,Integrated Wi-Fi Antenna ,(Compatible with Wi-Fi 4/5/6/6E/7) ,PS4/ Xbox One/ Xbox : 1080p, 60Hz, HDR ,PS5: 1440p, 120Hz, HDR ,Xbox Series X and S: 1440p, 120Hz, HDR, VRR ,",$109.99 ,4.5,Newegg,https://c1.neweggimages.com/ProductImage/24-028-005-08.jpg
"ASUS ROG Swift 32"" 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C","32-inch 4K (3840 x 2160) QD-OLED gaming monitor with 240 Hz refresh rate and 0.03 ms (GTG) response time for immersive gaming ,Highly efficient custom heatsink, advanced airflow design, and graphene film for better heat management to reduce the risk of burn-in ,VESA DisplayHDR 400 True Black compliance, 99% DCI-P3 gamut, true 10-bit, and Delta E < 2 color difference for astonishing HDR performance ,Extensive connectivity options include DisplayPort 1.4 (DSC), HDMI 2.1, and USB-C with 90 W Power Delivery ,What's in the box: DisplayPort cable, HDMI Ultra High Speed Cable, ROG pouch, ROG sticker, USB 3.2 cable, USB-C cable, VESA mount kit, Power cord & adapter, Quick start guide, Warranty Card, Color pre-calibration report ,ASUS Rapid Replacement (ARR) 3 years warranty with cross shipping service included ,Free 3-month Adobe Creative Cloud Subscription: Receive complimentary access with the purchase of this product (offer valid from 9/15/2021 to 8/31/2024) ,","$1,299.99 ",4.2,Newegg,https://c1.neweggimages.com/ProductImage/24-281-297-40.jpg
"ASUS 27"" 170Hz WQHD (2560 x 1440) Gaming Monitor 1ms Freesync Premium™– Overclock to Extreme Low Motion Blur™, Shadow Boost, HDR, DisplayWidget Lite TUF Gaming VG27AQA1A (above 144Hz)","27"" WQHD (2560 x 1440) gaming monitor with overclock to 170Hz refresh rate designed for professional gamers and immersive gameplay ,1ms (MPRT) response time for smooth gameplay, and ASUS Extreme Low Motion Blur (ELMB ™) technology to further reduce ghosting and motion blur ,FreeSync Premium delivers a seamless, tear-free gaming experience by enabling VRR (variable refresh rate) by default ,High Dynamic Range (HDR) technology supports HDR-10 format to enhance bright and dark areas ,",$174.99 ,4.4,Newegg,https://c1.neweggimages.com/ProductImage/24-281-243-12.png
"Acer 27"" 180 Hz IPS FHD Gaming Monitor FreeSync Premium (AMD Adaptive Sync) 1920 x 1080 Nitro XF270 M3biiph","27"" ,IPS FHD 1920 x 1080 ,180 Hz ,FreeSync Premium (AMD Adaptive Sync) ,100,000,000:1 (ACM) ,16.7 Million ,Ergonomic Tilt: -5° to 20° Height Adjustment Range: 3.93"" Swivel: +/-360° ,1 x DisplayPort 1.4 / 2 x HDMI 2.0 ,",$269.99 ,4.4,Newegg,https://c1.neweggimages.com/ProductImage/24-011-482-01.jpg
"Acer Nitro KG271U 27inch 2560x1440 240Hz Refresh rate 0.5ms response time AMD FreeSync Premium Acer HDR350 Gaming Monitor, HDMIx2, DisplayPort, Speaker","27inch 2560x1440P Gaming Display ,240Hz refresh rate and 0.5ms response time ,Acer HDR350 ,DCI-P3 90% color Gamut ,AMD Freesync Premium Technology ,HDMIx2, DisplayPort, Speaker ,",$269.99 ,4.3,Newegg,https://c1.neweggimages.com/ProductImage/24-011-486-09.jpg
"GIGABYTE - M34WQ - 34"" IPS Ultrawide Gaming Monitor - WQHD 3440x1440 - 144Hz - 1ms MPRT - AMD FreeSync Premium - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black","Resolution & Panel: 34"" WQHD 3440x1440 Ultrawide IPS Gaming Monitor ,Refresh Rate & Response: 144Hz refresh rate, 1ms MPRT response time ,Color Accuracy: 91% DCI-P3, 8 bit ,Special Features: Type C KVM, VESA DisplayHDR 400, TÜV Rheinland Certified, HBR3, AMD FreeSync Premium ,Connectivity: 2 x HDMI 2.0, 1 x Displayport 1.4, 1 x USB Type-C , 2 x USB 3.0 Downstream ports, 1 x USB 3.0 Upstream port, 1 x Earphone Jack ,VESA Wall Mount Compatible 100*100mm ,Accessories: Power cables, HDMI cable, DP cable, USB cable, QSG, Warranty card ,",$269.99 ,4.5,Newegg,https://c1.neweggimages.com/ProductImage/24-012-043-01.jpg
"34"" UltraGear™ OLED Curved Gaming Monitor WQHD FreeSync Premium Pro 240Hz 0.03ms G-Sync Compatible 800R Tilt, Height, Swivel Adjust","34"" Curved Gaming Monitor ,34"" UltraGear OLED's steep and dramatic 800R curve surrounds you in the action ,Outrageous OLED gaming speed at up to 240Hz and 0.03ms response time¹ ,DisplayHDR™ True Black400 and 1.5M:1 contrast ratio displays rich blacks and vivid color ,Space-saving design with virtually borderless height, tilt, and pivot adjustable screen ,Smooth gaming, reduced screen tearing and stutter with NVIDIA® G-SYNC® compatibility² & AMD FreeSync Premium Pro ,AMD FreeSync™ Premium Pro displays a fluid, virtually tear-free gaming experience ,4-Side Virtually Borderless Design & Tilt, Height, Swivel Adjustable Stand ,Black Stabilizer, Dynamic Action Sync, Crosshair, FPS Counter ,",$799.99 ,5,Newegg,https://c1.neweggimages.com/ProductImage/24-026-406-07.jpg
"ASUS 34"" 240 Hz OLED UWQHD Curved Gaming Monitor NVIDIA G-Sync 3440 x 1440 (2K) DCI-P3 99% sRGB 135% ROG Swift OLED PG34WCDM","34-inch ultra-wide (3440 x 1440) OLED 800R curved gaming monitor with 240 Hz refresh rate and 0.03ms response time ,Custom heatsink helps lower operating temperatures and reduce the risk of burn-in ,With improved 1300*-nits peak brightness, DisplayHDR True Black 400 compliance, 99% DCI-P3 gamut and true 10-bit color reproduction (*3% with HDR on) ,Adopting latest MLA technology to ensure 30% peak brightness enhancement and 20% wide viewing angle ,G-SYNC compatible technology ensures supersmooth, tear-free visuals with low latency ,Built-in Smart KVM allows users to automatically switch control between the two devices with a keyboard and mouse without any extra hardware or software; with USB 3.2 capacity enables 10 times superfast file transfer efficiency then USB 2.0 ,Extensive connectivity options including DisplayPort 1.4 with Display Stream Compression (DSC), HDMI (v2.1), USB-C with 90W Power Delivery ,","$1,299.00 ",3.9,Newegg,https://c1.neweggimages.com/ProductImage/24-281-295-07.png
